Asset ID,Asset Type,Floor,Zone,Installation Date,Manufacturer,Operational Time (hrs),Work Orders,Repairs,Last Serviced Date,Failure Probability,Failure_Probability,Predicted_Failure_Next_Month
1,Automatic Door,4,Fashion,2022-10-15,Manufacturer_C,4501,1,5,2023-06-27,0.00133,0.9999999112770718,1
2,Automatic Door,4,Entertainment,2023-01-26,Manufacturer_C,8477,10,2,2023-03-02,0.00142,0.03614968702340211,0
3,Information Board,1,Fashion,2021-08-18,Manufacturer_B,5676,3,2,2022-03-15,0.00088,0.03316938193216335,0
4,Automatic Door,3,Entertainment,2023-07-13,Manufacturer_A,6228,4,4,2023-08-23,0.00128,0.9999413300065892,1
5,Kiosk,5,Electronics,2020-12-21,Manufacturer_C,7109,9,3,2022-03-23,0.00169,0.9616678319494373,1
6,Water Fountain,4,Entertainment,2018-10-24,Manufacturer_B,209,4,0,2021-05-20,0.01914,5.905999646338097e-08,0
7,Vending Machine,5,Food Court,2019-11-07,Manufacturer_B,4279,0,1,2020-04-24,0.00023,4.6966625760489735e-05,0
8,Escalator,1,Entertainment,2022-01-12,Manufacturer_A,5457,9,2,2022-02-25,0.00202,0.03294662946647988,0
9,Water Fountain,3,Food Court,2019-11-27,Manufacturer_B,5707,3,1,2023-02-18,0.0007,4.914987597956984e-05,0
10,Escalator,4,Fashion,2021-09-13,Manufacturer_D,511,10,4,2021-09-15,0.0274,0.9999296253723355,1
11,Water Fountain,4,Food Court,2019-03-06,Manufacturer_A,4927,8,3,2021-10-09,0.00223,0.9590247234971584,1
12,Elevator,4,Parking,2022-10-30,Manufacturer_D,2070,5,1,2022-11-14,0.0029,4.3778797407083506e-05,0
13,Automatic Door,2,Electronics,2022-11-28,Manufacturer_A,9289,4,3,2023-03-11,0.00075,0.9641446207455234,1
14,Kiosk,4,Fashion,2021-11-11,Manufacturer_A,5871,10,5,2023-09-09,0.00255,0.9999999150617368,1
15,Information Board,5,Entertainment,2020-08-19,Manufacturer_D,3057,1,3,2023-05-10,0.00131,0.9566215135391274,1
16,ATM,3,Fashion,2022-10-14,Manufacturer_A,5348,6,2,2023-08-15,0.0015,0.03283630103020432,0
17,Water Fountain,4,Electronics,2020-03-14,Manufacturer_A,9321,1,1,2021-05-24,0.00021,5.5139511186710835e-05,0
18,Automatic Door,3,Parking,2022-11-09,Manufacturer_D,8575,0,5,2022-12-21,0.00058,0.9999999220643988,1
19,Kiosk,3,Food Court,2020-05-16,Manufacturer_D,7060,9,3,2020-07-12,0.0017,0.9616103144342089,1
20,Water Fountain,3,Food Court,2020-10-21,Manufacturer_B,9031,10,3,2021-05-12,0.00144,0.9638597323892353,1
21,Water Fountain,1,Parking,2021-05-15,Manufacturer_C,3703,1,1,2023-08-12,0.00054,4.6113681114113756e-05,0
22,Automatic Door,5,Fashion,2019-02-11,Manufacturer_B,3647,8,3,2023-05-20,0.00302,0.9573939267085597,1
23,Escalator,5,Electronics,2018-10-14,Manufacturer_B,7188,6,1,2022-06-27,0.00097,5.1521421345947834e-05,0
24,Water Fountain,3,Electronics,2022-05-24,Manufacturer_D,5999,5,5,2022-06-20,0.00167,0.9999999154069856,1
25,Water Fountain,5,Parking,2023-04-19,Manufacturer_B,4738,10,1,2023-04-26,0.00232,4.765759651761477e-05,0
26,Automatic Door,2,Parking,2022-12-19,Manufacturer_B,6786,8,1,2023-01-23,0.00133,5.086660427483594e-05,0
27,Automatic Door,4,Parking,2019-10-18,Manufacturer_A,7529,1,1,2022-03-03,0.00027,5.208347897096967e-05,0
28,Kiosk,5,Entertainment,2020-02-09,Manufacturer_C,1276,7,5,2023-03-19,0.0094,0.9999999016887479,1
29,Escalator,1,Entertainment,2021-01-01,Manufacturer_D,9012,4,1,2021-07-06,0.00055,5.460004123250876e-05,0
30,Automatic Door,3,Parking,2018-10-03,Manufacturer_D,1769,4,0,2019-09-26,0.00226,6.206568919777508e-08,0
31,Vending Machine,5,Food Court,2020-08-15,Manufacturer_C,6131,1,4,2022-07-11,0.00082,0.9999411486490783,1
32,Automatic Door,1,Fashion,2021-09-20,Manufacturer_D,8697,0,1,2021-12-19,0.00011,5.405552824604038e-05,0
33,Elevator,5,Fashion,2019-11-07,Manufacturer_B,2623,5,4,2021-08-22,0.00343,0.999934199127063,1
34,Information Board,3,Food Court,2020-01-30,Manufacturer_A,1190,9,4,2020-08-12,0.01092,0.9999311294687545,1
35,Kiosk,3,Food Court,2020-05-02,Manufacturer_C,3676,7,3,2021-10-09,0.00272,0.9574315519937432,1
36,Automatic Door,2,Food Court,2020-10-13,Manufacturer_D,6518,1,2,2022-03-03,0.00046,0.03403942895045611,0
37,Kiosk,3,Entertainment,2022-05-22,Manufacturer_A,1684,6,0,2023-02-15,0.00356,6.189804589300776e-08,0
38,ATM,1,Entertainment,2023-01-31,Manufacturer_B,5489,4,2,2023-06-26,0.00109,0.03297908740147657,0
39,Vending Machine,1,Entertainment,2021-04-16,Manufacturer_C,602,10,1,2021-08-31,0.01827,4.178091119592744e-05,0
40,ATM,1,Electronics,2019-06-19,Manufacturer_A,5527,8,2,2019-08-27,0.00181,0.03301767131571387,0
41,Vending Machine,3,Parking,2020-05-31,Manufacturer_B,9606,3,5,2022-12-03,0.00083,0.9999999245797176,1
42,Kiosk,5,Parking,2020-07-29,Manufacturer_C,7632,8,1,2021-01-05,0.00118,5.2254452678008086e-05,0
43,Kiosk,4,Entertainment,2021-02-08,Manufacturer_A,9357,2,1,2022-01-22,0.00032,5.52027077019658e-05,0
44,Water Fountain,2,Parking,2020-04-10,Manufacturer_B,8510,3,5,2023-05-19,0.00094,0.9999999219030368,1
45,Elevator,5,Food Court,2020-02-16,Manufacturer_C,2485,6,1,2022-09-21,0.00282,4.4360721379167395e-05,0
46,Water Fountain,3,Fashion,2022-03-15,Manufacturer_C,8694,7,0,2023-05-31,0.00081,7.736606173980737e-08,0
47,Escalator,1,Electronics,2022-02-23,Manufacturer_D,1369,10,3,2022-12-04,0.0095,0.9543371390034238,1
48,ATM,2,Entertainment,2022-05-01,Manufacturer_B,119,2,1,2023-09-11,0.02521,4.1143709393943045e-05,0
49,Information Board,3,Parking,2023-01-05,Manufacturer_C,7338,0,4,2023-07-14,0.00055,0.9999433659710166,1
50,Elevator,4,Fashion,2021-08-13,Manufacturer_C,7787,1,0,2023-05-27,0.00013,7.516511937874691e-08,0
51,Vending Machine,2,Electronics,2023-01-05,Manufacturer_A,882,2,4,2023-03-23,0.0068,0.9999304512234719,1
52,Water Fountain,3,Fashion,2019-07-17,Manufacturer_B,2203,10,0,2019-11-29,0.00454,6.292876005790187e-08,0
53,Automatic Door,3,Parking,2023-09-11,Manufacturer_D,1012,6,2,2023-09-11,0.00791,0.02872601280221793,0
54,Elevator,4,Electronics,2019-11-01,Manufacturer_C,9973,9,4,2023-06-25,0.0013,0.9999479206588019,1
55,Information Board,5,Food Court,2023-03-03,Manufacturer_B,5044,6,5,2023-08-27,0.00218,0.9999999127968913,1
56,Water Fountain,4,Fashion,2021-10-07,Manufacturer_A,8223,10,0,2022-10-09,0.00122,7.621519802789465e-08,0
57,ATM,1,Electronics,2022-09-06,Manufacturer_A,2080,3,3,2023-08-27,0.00288,0.9553129771838814,1
58,Water Fountain,1,Food Court,2019-02-28,Manufacturer_A,4449,0,2,2022-09-21,0.00045,0.031939859028923615,0
59,Kiosk,3,Fashion,2021-07-07,Manufacturer_A,2883,5,4,2022-05-31,0.00312,0.9999347412331793,1
60,Kiosk,5,Parking,2020-11-01,Manufacturer_D,4453,1,0,2021-09-29,0.00022,6.759937530415581e-08,0
61,Elevator,1,Electronics,2020-11-28,Manufacturer_B,2586,1,3,2021-12-19,0.00155,0.9559953143425048,1
62,ATM,5,Parking,2020-12-05,Manufacturer_A,6748,2,1,2023-05-13,0.00044,5.08051383162811e-05,0
63,Kiosk,5,Parking,2022-12-10,Manufacturer_C,6660,2,3,2023-07-19,0.00075,0.961137675092687,1
64,Information Board,3,Food Court,2020-10-09,Manufacturer_D,1740,2,3,2021-10-14,0.00287,0.9548488368723427,1
65,ATM,1,Electronics,2020-03-25,Manufacturer_B,8834,5,2,2023-05-19,0.00079,0.03654758802730055,0
66,Kiosk,4,Electronics,2019-01-19,Manufacturer_C,53,7,5,2020-04-11,0.22642,0.9999998977874376,1
67,Kiosk,3,Electronics,2019-05-16,Manufacturer_C,2664,2,2,2020-11-30,0.0015,0.030229577166899297,0
68,ATM,1,Food Court,2019-04-28,Manufacturer_B,387,9,3,2019-06-05,0.03101,0.9529559493469352,1
69,ATM,3,Electronics,2021-06-09,Manufacturer_B,5228,5,4,2023-09-12,0.00172,0.9999394332104906,1
70,Automatic Door,3,Electronics,2022-12-16,Manufacturer_D,3329,3,4,2023-01-03,0.0021,0.9999356607731935,1
71,Escalator,2,Electronics,2021-06-21,Manufacturer_D,4998,6,3,2022-11-01,0.0018,0.9591134110421292,1
72,Automatic Door,1,Electronics,2020-03-12,Manufacturer_D,1364,0,5,2023-05-25,0.00367,0.9999999019636517,1
73,Vending Machine,5,Entertainment,2021-04-26,Manufacturer_D,496,6,1,2022-09-17,0.01411,4.1640229890104865e-05,0
74,Elevator,3,Food Court,2023-02-13,Manufacturer_B,6550,8,3,2023-03-26,0.00168,0.9610067234059517,1
75,Elevator,3,Parking,2023-04-27,Manufacturer_B,2512,9,2,2023-08-20,0.00438,0.030088108252738565,0
76,ATM,3,Electronics,2023-09-08,Manufacturer_D,7192,9,0,2023-09-08,0.00125,7.37554039899075e-08,0
